player_id,season,I_F_xGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_savedShotsOnGoal,I_F_faceOffsWon,I_F_hits,I_F_takeaways
8476462,2021,11.35,11.01,10,11,197,88,117,402,30,9,12,188,0,87,20
8476463,2021,4.91,4.87,9,16,126,31,75,232,30,5,3,121,0,42,24
8476466,2021,0.02,0.02,0,0,1,0,0,1,0,0,0,1,0,0,0
8476467,2021,5.96,5.58,9,7,95,33,48,176,17,1,10,94,0,182,32
8476468,2021,28.79,27.22,36,31,206,87,57,350,99,32,22,174,667,172,56
8476469,2021,10.13,9.61,4,4,103,32,44,179,14,6,8,97,3,104,30
8476470,2021,1.02,1.01,3,1,24,14,14,52,4,0,4,24,0,19,0
8476473,2021,2.04,2.01,2,4,71,27,52,150,10,4,4,67,0,130,19
8476474,2021,0.83,0.68,0,0,4,5,2,11,0,0,0,4,0,5,0
8476479,2021,25.97,24.13,14,10,194,66,39,299,51,27,21,167,676,74,22
8476480,2021,14.45,13.98,8,6,91,32,30,153,30,16,7,75,26,62,21
8476483,2021,17.81,17.25,12,9,184,81,77,342,41,20,9,164,36,99,28
8476495,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8476505,2021,0.02,0.02,0,0,1,1,0,2,0,0,0,1,0,3,0
8476525,2021,1.36,1.3,7,5,48,25,29,102,14,2,6,46,0,50,6
8476539,2021,24.36,23.69,24,12,251,80,82,413,66,30,15,221,43,61,38
8476545,2021,0,0,0,0,0,0,1,1,0,0,0,0,0,7,1
8476624,2021,15.93,15.53,14,6,116,41,25,182,33,13,11,103,366,130,39
8476779,2021,2.03,2,8,6,67,23,37,127,17,3,6,64,0,22,11
8476792,2021,6.03,5.92,14,20,119,54,72,245,43,9,7,110,0,53,16
8476807,2021,0.17,0.17,2,1,5,3,3,11,3,0,1,5,0,12,1
8476822,2021,15.24,14.92,5,2,116,51,26,193,16,9,7,107,425,179,17
8476826,2021,15.36,14.97,20,7,128,58,60,246,48,21,5,107,444,77,54
8476850,2021,1.1,1.1,1,3,26,7,12,45,4,0,1,26,0,32,4
8476851,2021,9.69,8.56,7,8,89,33,23,145,21,6,7,83,214,67,18
8476853,2021,9.35,9.06,32,26,221,69,94,384,68,10,13,211,0,92,40
8476854,2021,6.28,6.17,11,11,142,59,74,275,27,5,6,137,0,70,35
8476856,2021,6.83,6.12,12,8,116,38,97,251,27,7,11,109,0,114,15
8476867,2021,4.64,4.54,1,1,44,18,9,71,7,5,2,39,66,42,8
8476869,2021,8.79,8.47,16,14,184,69,77,330,39,9,17,175,0,95,51
8476870,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8476871,2021,16.43,16.08,10,10,159,38,45,242,34,14,16,145,20,84,22
8476872,2021,14.44,13.47,10,9,110,38,48,196,30,11,7,99,395,151,31
8476873,2021,1.79,1.74,1,2,14,8,7,29,5,2,1,12,86,5,4
8476874,2021,2.44,2.34,2,5,61,26,52,139,8,1,3,60,0,67,10
8476875,2021,7.13,6.95,11,9,140,70,85,295,31,11,10,129,0,97,43
8476878,2021,8.89,8.49,7,1,92,28,25,145,18,10,6,82,143,81,24
8476879,2021,3.3,3.2,7,16,102,36,75,213,28,5,3,97,0,117,15
8476880,2021,19.41,18.69,14,14,151,75,53,279,52,24,13,127,22,240,36
8476881,2021,29.02,27.67,21,13,205,76,83,364,64,30,17,175,769,105,65
8476882,2021,18.95,18.32,26,17,202,62,62,326,65,22,16,180,24,15,34
8476884,2021,0.49,0.49,3,1,8,9,13,30,4,0,0,8,0,10,3
